family,n_features,total_gain_pct,median_gain_pct,mean_perm_drop,max_perm_drop,mean_abs_ic,n_alive,n_dead
D,138,78.99,0.2413,0.00037,0.01106,0.0333,6,132
M,7,8.13,1.2988,0.00021,0.00051,0.0654,0,7
X,11,4.64,0.2778,0.00029,0.00093,0.0278,0,11
regime,3,3.99,1.0094,0.00042,0.00058,0.1025,0,3
W,4,2.29,0.605,0.00034,0.00061,0.0361,0,4
Comb,5,1.45,0.2253,0.00011,0.0002,0.024,0,5
other,2,0.49,0.2445,0.00012,0.00019,0.0392,0,2
DOW,7,0.03,0.0046,1e-05,2e-05,0.0159,0,7
CPR,8,0.0,0.0,0.0,0.0,0.0,0,8
Struct,3,0.0,0.0,0.0,0.0,0.0,0,3
DayType,3,0.0,0.0,0.0,0.0,0.0,0,3
