feature,family,gain_pct,split_pct,gain_rank,mean_abs_ic,ic_pos_pct,ic_sign_flip,ic_std,year_rank_stability,rank_drift,generalizes,auc_drop_global_mean,auc_drop_global_std,consistency_score,max_regime_drop,min_regime_drop,mean_regime_drop,best_regime,regime_specialist,is_dead_everywhere,is_harmful_anywhere,auc_drop_bull_trend,ic_bull_trend,auc_drop_bull_range,ic_bull_range,auc_drop_bear_trend,ic_bear_trend,auc_drop_bear_range,ic_bear_range,recommendation,reason
D_WQ_29,D,4.09909,1.6732,3,0.07005,0.66667,0.33333,0.07394,1.0,0.02094,True,0.00206,0.00053,0.0,0.00477,-0.00224,0.00204,bull_trend,True,False,True,0.00477,0.05704,0.00413,0.01855,0.0015,0.08636,-0.00224,0.00913,DROP_HARMFUL,Harmful in: bear_range(-0.0022)
D_ema20_angle_z252,D,2.17856,2.11991,8,0.05122,0.33333,0.33333,0.05683,0.52381,0.06806,True,0.0008,0.00023,0.0,0.00723,-0.00272,0.00038,bear_trend,True,False,True,-0.0004,-0.03704,-0.00261,-0.00312,0.00723,-0.0822,-0.00272,0.01623,DROP_HARMFUL,"Harmful in: bull_range(-0.0026), bear_range(-0.0027)"
D_cpr_width_pct,D,1.61242,1.3702,14,0.02525,0.33333,0.33333,0.02812,0.61905,0.27749,False,-0.00027,0.0001,0.0,0.00017,-0.00128,-0.00052,,False,True,True,0.00017,-0.01947,-4e-05,-0.01465,-0.00094,-0.02106,-0.00128,0.00422,DROP_HARMFUL,"Harmful in: bear_trend(-0.0009), bear_range(-0.0013)"
M_vix,M,1.3444,1.89154,17,0.11624,1.0,0.0,0.0793,1.0,0.01571,True,-0.00017,4e-05,0.0,0.00109,-0.00172,-4e-05,bear_range,False,False,True,-0.00172,-0.00205,-0.00018,0.04316,0.00066,0.10372,0.00109,0.15733,DROP_HARMFUL,Harmful in: bull_trend(-0.0017)
M_vix_level_z60,M,1.29875,1.81691,20,0.06643,1.0,0.0,0.06164,1.0,0.04188,True,-4e-05,5e-05,0.0,0.00041,-0.00084,-0.00012,,False,True,True,-6e-05,0.01046,0.00041,0.00585,1e-05,0.07867,-0.00084,0.06138,DROP_HARMFUL,Harmful in: bear_range(-0.0008)
D_rsi14_z252,D,0.92505,1.32007,29,0.04624,0.33333,0.33333,0.05464,0.71429,0.02618,True,-0.00054,0.00011,0.0,0.00118,-0.00139,-0.00044,bear_trend,False,False,True,-0.00139,-0.02925,-0.00081,-6e-05,0.00118,-0.07431,-0.00073,0.02466,DROP_HARMFUL,"Harmful in: bull_trend(-0.0014), bull_range(-0.0008), bear_range(-0.0007)"
D_WQ_35,D,0.8313,0.61937,35,0.04532,0.66667,0.33333,0.04792,0.38095,0.6178,False,-0.00036,0.0001,0.0,0.0004,-0.00082,-0.00031,,False,True,True,-0.0004,0.03532,-0.00082,0.01388,0.0004,0.05249,-0.00041,0.00054,DROP_HARMFUL,Harmful in: bull_range(-0.0008)
D_rsi7_gt_rsi14,D,0.7835,0.53805,38,0.05792,0.33333,0.33333,0.07116,0.95238,0.17801,True,-8e-05,2e-05,0.0,0.00021,-0.0006,-0.00017,,False,True,True,-3e-05,-0.03044,-0.00026,0.00295,0.00021,-0.04493,-0.0006,0.01517,DROP_HARMFUL,Harmful in: bear_range(-0.0006)
D_obv_slope_lag1,D,0.4134,0.65725,68,0.02176,0.33333,0.5,0.0317,0.52381,0.41361,False,-0.0002,6e-05,0.0,0.00014,-0.00078,-0.00025,,False,True,True,-0.00011,-0.01303,-0.00078,0.00954,0.00014,-0.03768,-0.00023,0.00714,DROP_HARMFUL,Harmful in: bull_range(-0.0008)
D_gap_pct,D,1.86474,0.97473,11,0.01304,0.66667,0.5,0.01877,0.52381,0.32461,False,0.00022,0.00011,0.0,0.00057,-0.00014,0.00022,,False,True,False,0.00034,-0.01344,0.00057,-0.00195,0.00011,-0.01174,-0.00014,-0.00715,DROP,Dead in all regimes & global | Weak IC (0.0130)
