feature,auc_drop_global,auc_drop_global_std,auc_drop_bull_trend,auc_drop_bull_trend_std,auc_drop_bull_range,auc_drop_bull_range_std,auc_drop_bear_trend,auc_drop_bear_trend_std,auc_drop_bear_range,auc_drop_bear_range_std
CPR_Tmr_Above,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Below,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Inside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Above,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Below,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Inside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comb_ATRhigh__EMA20neg,0.0001549635283035089,9.703019321821963e-06,-6.999933610429832e-05,4.7586897042825385e-05,-5.694887884586386e-05,5.969443685667757e-05,0.0005688028865920236,0.0001285841946404384,0.00031183916356460897,7.390010454156893e-05
Comb_ATRlow__EMA20pos,0.0002003268690885296,3.7506226916037965e-05,0.0005646610224006698,7.304339154351712e-05,9.955593223693881e-05,6.333403752262607e-05,-4.007500682459142e-05,2.6913538328862906e-05,-7.037976520152256e-05,2.3563492505715977e-05
Comb_GapDown__CPR_Tmr_Below,4.005333813748013e-05,7.941232562786227e-06,3.834356151433127e-06,1.5304669446485772e-05,4.379275318620035e-05,2.9216607636025764e-05,8.340599380536328e-05,1.9984021316422843e-05,4.911723593765682e-05,2.8870437961545878e-05
Comb_GapUp__CPR_Tmr_Above,0.00011962059136780834,3.341224952081516e-05,0.00016306745625569442,6.324901428979034e-05,0.00018926682565720832,5.5843451342655904e-05,-2.586205514854001e-06,3.366658925592131e-05,0.00010299485643670004,6.035677240804761e-05
Comb_RSIslopePos__ADX_15_25,2.234389440809448e-05,1.4430872103965911e-05,3.6884644327805914e-05,1.4306311450658635e-05,3.0247443749464863e-06,1.9094844076725182e-05,3.5843019850689827e-05,2.325381249144414e-05,4.2370304228023235e-05,2.2089994933121612e-05
